Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.20434E-8,0.000001204,0.000016561,1,0,0
1.43904E-8,0.000002643,0.000019789,0.999609984,0,0
2.24174E-8,0.000010578,0.000030827,0.998049922,0,0
2.88551E-8,0.000026794,0.000039679,0.995709828,0,0
3.73069E-8,0.000051238,0.0000513,0.992979719,0,0
4.97959E-8,0.000101748,0.000068472,0.988299532,0,0
8.24978E-8,0.000250813,0.000113434,0.979329173,0,0
1.12366E-7,0.000502352,0.000154497,0.969578783,0,0
1.3506E-7,0.001002705,0.000185693,0.953978159,0,0
4.43285E-7,0.002518295,0.000609214,0.930187207,0.000879507,0
7.19321E-7,0.00503872,0.000988201,0.912636505,0.000879507,0
1.12579E-6,0.010094748,0.001545744,0.891185647,0.000879507,0
1.97658E-6,0.025013765,0.00271074,0.852184087,0.000879507,0
2.67026E-6,0.050110855,0.003658591,0.809282371,0.000879507,0
5.91027E-6,0.100489412,0.008062011,0.760530421,0.000879507,0
1.01597E-5,0.200408006,0.013778655,0.713728549,0.000879507,0
1.42639E-5,0.300422847,0.019237794,0.682137285,0.000879507,0
1.68237E-5,0.400277275,0.022612023,0.657176287,0.000879507,0
1.95203E-5,0.500779455,0.026141656,0.635725429,0.000879507,0
2.09927E-5,0.601950145,0.028058288,0.616224649,0.001759015,0
2.39728E-5,0.700188691,0.031914241,0.599063963,0.002638522,0
2.62937E-5,0.752442813,0.034896094,0.590873635,0.002638522,0
3.0067E-5,0.800116152,0.039705097,0.58424337,0.002638522,0
3.49161E-5,0.901636805,0.045815216,0.572152886,0.002638522,0
4.0628E-5,1.00301834,0.052913567,0.561622465,0.002638522,0
4.70817E-5,1.102077071,0.060807686,0.552652106,0.004397537,0
6.13714E-5,1.202840122,0.077827017,0.54524181,0.005277045,0
7.23895E-5,1.305466313,0.090534365,0.539391576,0.007915567,0
8.67092E-5,1.402178056,0.106535481,0.534711388,0.008795075,0
9.94364E-5,1.504265731,0.120291802,0.530421217,0.008795075,0
1.32112E-4,1.752718473,0.153743619,0.522230889,0.008795075,0
1.62557E-4,2.01090346,0.182700487,0.515600624,0.011433597,0
1.87603E-4,2.25748929,0.205077184,0.510140406,0.011433597,0
2.18684E-4,2.503608592,0.23119786,0.505460218,0.013192612,0
2.37857E-4,2.75630126,0.246472136,0.501170047,0.014951627,0
2.56234E-4,3.003869984,0.260552736,0.497269891,0.016710642,0
2.83802E-4,3.253052987,0.280716547,0.49375975,0.019349164,0
2.98808E-4,3.516108793,0.291236397,0.49024961,0.021108179,0
3.08154E-4,3.758485595,0.297634554,0.487129485,0.022867194,0
3.18608E-4,4.009454307,0.304655299,0.48400936,0.026385224,0
3.29041E-4,4.26932925,0.311523285,0.480889236,0.029023747,0
3.35393E-4,4.502644534,0.315639288,0.478159126,0.030782762,0
3.45876E-4,4.775495981,0.322324995,0.475039002,0.034300792,0
3.538E-4,5.021306669,0.327292376,0.472308892,0.037818821,0
3.65826E-4,5.274660759,0.334693983,0.469578783,0.041336851,0
3.77174E-4,5.535162346,0.341530495,0.466848674,0.043975374,0
3.86239E-4,5.765171192,0.346891156,0.46450858,0.045734389,0
3.9732E-4,6.000986751,0.353327123,0.462168487,0.049252419,0
4.17557E-4,6.283912331,0.364759111,0.459438378,0.050131926,0
4.3204E-4,6.540349756,0.37269536,0.457098284,0.051011434,0
4.52077E-4,6.761335282,0.383354142,0.455148206,0.053649956,0
4.71185E-4,7.039159915,0.393186613,0.452808112,0.056288478,0
4.86487E-4,7.278812974,0.400837366,0.450858034,0.058927001,0
4.93837E-4,7.524233894,0.404443978,0.448907956,0.061565523,0
5.02643E-4,7.77482745,0.408708261,0.446957878,0.064204046,0
5.13447E-4,8.030217266,0.413857473,0.4450078,0.065963061,0
5.28934E-4,8.291055186,0.421083861,0.443057722,0.067722076,0
5.32552E-4,8.503697052,0.422746637,0.44149766,0.070360598,0
5.3593E-4,8.770784467,0.4242903,0.439547582,0.072119613,0
5.42829E-4,9.041261428,0.427417865,0.437597504,0.074758135,0
5.46732E-4,9.25957644,0.429172299,0.436037441,0.077396658,0
