"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"MelQuin_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_12" 3 1
"MelQuin_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_10" 3 0.437023
"MelQuin_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_15" 3 0.108875
"MelQuin_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_16" 3 0.503181
"MelQuin_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_4" 3 0.323562
"MelQuin_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_5" 3 0.399658
"MelQuin_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_14" 3 0.062464
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_12" 1 0.091664
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_10" 1 0.067508
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_15" 1 0.0446260000000001
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_16" 1 0.049576
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_4" 1 0.100834
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_5" 1 0.074074
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_14" 1 0.053423
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_12" 2 0.095141
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_10" 2 0.065931
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_15" 2 0.0491470000000001
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_16" 2 0.050682
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_4" 2 0.105505
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_5" 2 0.070434
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_14" 2 0.054553
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_12" 3 0.091755
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_10" 3 0.062036
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_15" 3 0.046272
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_16" 3 0.05055
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_4" 3 0.097618
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_5" 3 0.073937
"MelQuin_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_14" 3 0.055384
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_12" 1 1
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_10" 1 0.44887
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_15" 1 0.120508
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_16" 1 0.458149
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_4" 1 0.355919
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_5" 1 0.425735
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_14" 1 0.047305
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_12" 2 1
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_10" 2 0.432498
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_15" 2 0.115892
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_16" 2 0.420072
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_4" 2 0.340009
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_5" 2 0.400767
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_14" 2 0.049935
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_12" 3 1
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_10" 3 0.424937
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_15" 3 0.120141
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_16" 3 0.438753
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_4" 3 0.352474
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_5" 3 0.413711
"MelQuin_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_14" 3 0.046116
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_12" 1 0.0947789999999999
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_10" 1 0.075729
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_15" 1 0.042488
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_16" 1 0.048517
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_4" 1 0.083988
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_5" 1 0.0977
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_14" 1 0.048469
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_12" 2 0.096825
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_10" 2 0.080269
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_15" 2 0.041627
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_16" 2 0.047489
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_4" 2 0.092028
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_5" 2 0.102944
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_14" 2 0.051377
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_12" 3 0.090818
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_10" 3 0.07324
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_15" 3 0.039426
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_16" 3 0.048307
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_4" 3 0.090856
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_5" 3 0.099743
"MelQuin_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_14" 3 0.047276
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_12" 1 0.999541
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_10" 1 0.53173
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_15" 1 0.065744
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_16" 1 0.308044
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_4" 1 0.24484
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_5" 1 0.678856
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_14" 1 0.046368
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_12" 2 1
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_10" 2 0.554454
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_15" 2 0.064605
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_16" 2 0.304882
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_4" 2 0.251333
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_5" 2 0.688948
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_14" 2 0.043816
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_12" 3 1
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_10" 3 0.565161
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_15" 3 0.062827
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_16" 3 0.306938
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_4" 3 0.260752
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_5" 3 0.730514
"MelQuin_allData_RUN4_GLM" "allData" "RUN4" "GLM" "wc2.1_10m_bio_14" 3 0.050459
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_12" 1 0.087664
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_10" 1 0.073228
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_15" 1 0.045521
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_16" 1 0.062757
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_4" 1 0.092322
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_5" 1 0.080466
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_14" 1 0.0552550000000001
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_12" 2 0.090398
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_10" 2 0.079566
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_15" 2 0.047003
"MelQuin_allData_RUN4_RF" "allData" "RUN4" "RF" "wc2.1_10m_bio_16" 2 0.057554
