"full.name" "PA" "run" "algo" "expl.var" "rand" "var.imp"
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_1" 1 0.767192
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_2" 1 0.0262790000000001
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_5" 1 0.735745
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_6" 1 0.8816
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_7" 1 1
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_8" 1 0.57695
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_14" 1 0.150686
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_18" 1 0.076694
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_1" 2 0.771342
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_2" 2 0.025397
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_5" 2 0.707383
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_6" 2 0.876302
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_7" 2 1
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_8" 2 0.588668
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_14" 2 0.14567
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_18" 2 0.075451
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_1" 3 0.763055
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_2" 3 0.026243
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_5" 3 0.71507
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_6" 3 0.909581
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_7" 3 1
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_8" 3 0.588715
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_14" 3 0.147257
"MR_allData_RUN1_GLM" "allData" "RUN1" "GLM" "wc2.1_10m_bio_18" 3 0.075
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_1" 1 0.064876
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_2" 1 0.044235
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_5" 1 0.087849
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_6" 1 0.084805
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_7" 1 0.055391
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_8" 1 0.053208
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_14" 1 0.090415
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_18" 1 0.077314
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_1" 2 0.064457
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_2" 2 0.049226
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_5" 2 0.084718
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_6" 2 0.083581
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_7" 2 0.057674
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_8" 2 0.054693
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_14" 2 0.100983
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_18" 2 0.082813
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_1" 3 0.063343
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_2" 3 0.044975
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_5" 3 0.09158
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_6" 3 0.085442
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_7" 3 0.054881
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_8" 3 0.056579
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_14" 3 0.091995
"MR_allData_RUN1_RF" "allData" "RUN1" "RF" "wc2.1_10m_bio_18" 3 0.0813390000000001
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_1" 1 0.738996
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_2" 1 0.128868
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_5" 1 0.738398
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_6" 1 0.90564
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_7" 1 1
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_8" 1 0.537019
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_14" 1 0.219895
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_18" 1 0.06026
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_1" 2 0.727485
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_2" 2 0.139594
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_5" 2 0.71508
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_6" 2 0.932566
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_7" 2 1
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_8" 2 0.531078
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_14" 2 0.234738
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_18" 2 0.055478
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_1" 3 0.706446
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_2" 3 0.138565
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_5" 3 0.735303
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_6" 3 0.931966
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_7" 3 1
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_8" 3 0.538444
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_14" 3 0.214952
"MR_allData_RUN2_GLM" "allData" "RUN2" "GLM" "wc2.1_10m_bio_18" 3 0.058374
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_1" 1 0.071442
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_2" 1 0.048176
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_5" 1 0.085529
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_6" 1 0.073694
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_7" 1 0.0548
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_8" 1 0.052502
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_14" 1 0.093183
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_18" 1 0.075516
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_1" 2 0.07114
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_2" 2 0.046501
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_5" 2 0.08479
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_6" 2 0.074101
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_7" 2 0.056342
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_8" 2 0.0502939999999999
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_14" 2 0.0880069999999999
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_18" 2 0.0791809999999999
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_1" 3 0.0666870000000001
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_2" 3 0.046312
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_5" 3 0.08497
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_6" 3 0.0742969999999999
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_7" 3 0.056717
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_8" 3 0.050907
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_14" 3 0.089821
"MR_allData_RUN2_RF" "allData" "RUN2" "RF" "wc2.1_10m_bio_18" 3 0.070758
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_1" 1 0.773014
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_2" 1 0.011345
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_5" 1 0.73226
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_6" 1 0.923731
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_7" 1 1
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_8" 1 0.676225
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_14" 1 0.164761
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_18" 1 0.124164
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_1" 2 0.789406
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_2" 2 0.012335
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_5" 2 0.744004
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_6" 2 0.898371
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_7" 2 1
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_8" 2 0.669119
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_14" 2 0.163008
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_18" 2 0.132636
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_1" 3 0.750574
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_2" 3 0.011803
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_5" 3 0.709599
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_6" 3 0.891824
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_7" 3 1
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_8" 3 0.644628
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_14" 3 0.165472
"MR_allData_RUN3_GLM" "allData" "RUN3" "GLM" "wc2.1_10m_bio_18" 3 0.129245
"MR_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_1" 1 0.060131
"MR_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_2" 1 0.045772
"MR_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_5" 1 0.0788990000000001
"MR_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_6" 1 0.069344
"MR_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_7" 1 0.05313
"MR_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_8" 1 0.054408
"MR_allData_RUN3_RF" "allData" "RUN3" "RF" "wc2.1_10m_bio_14" 1 0.09092
